2024-05-04 23:09:05 CPU Usage: 15.6 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 2.00, 0.94 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.882/2.125/0.184 Avg:ms Max:
2024-05-04 23:17:27 CPU Usage: 41.7 | Memory Usage: 31.37 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.09, 1.26, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.690/1.778/1.910/0.080 Avg:ms Max:
2024-05-04 23:17:32 CPU Usage: 78.8 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.00, 1.24, 1.00 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.712/1.858/2.131/0.163 Avg:ms Max:
2024-05-04 23:17:37 CPU Usage: 48.4 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.92, 1.22, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.506/1.740/1.932/0.158 Avg:ms Max:
2024-05-04 23:17:43 CPU Usage: 87.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.01, 1.23, 1.00 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.384/1.830/2.135/0.281 Avg:ms Max:
2024-05-04 23:17:48 CPU Usage: 46.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.15, 1.25, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.316/1.668/1.876/0.203 Avg:ms Max:
2024-05-04 23:17:53 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.05, 1.23, 1.01 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.628/1.911/2.173/0.193 Avg:ms Max:
2024-05-04 23:17:58 CPU Usage: 41.2 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.21, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.628/1.830/1.937/0.110 Avg:ms Max:
2024-05-04 23:18:04 CPU Usage: 32.3 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.21, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.655/1.845/2.076/0.149 Avg:ms Max:
2024-05-04 23:18:09 CPU Usage: 48.6 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.20, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.487/1.860/2.173/0.241 Avg:ms Max:
2024-05-04 23:18:14 CPU Usage: 37.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.20, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.512/1.927/2.183/0.247 Avg:ms Max:
2024-05-04 23:18:19 CPU Usage: 34.4 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.90, 1.18, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.475/1.721/2.040/0.202 Avg:ms Max:
2024-05-04 23:18:24 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.91, 1.18, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.747/1.814/1.866/0.047 Avg:ms Max:
2024-05-04 23:18:30 CPU Usage: 37.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.83, 1.16, 0.99 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.631/1.784/2.104/0.169 Avg:ms Max:
2024-05-04 23:18:35 CPU Usage: 42.4 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.09, 1.20, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.806/1.912/2.045/0.096 Avg:ms Max:
2024-05-04 23:18:40 CPU Usage: 48.6 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.08, 1.20, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.533/1.928/2.152/0.237 Avg:ms Max:
2024-05-04 23:18:45 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.07, 1.20, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.452/1.772/2.249/0.262 Avg:ms Max:
2024-05-04 23:18:51 CPU Usage: 47.1 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.99, 1.18, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.544/1.761/2.031/0.158 Avg:ms Max:
2024-05-04 23:18:56 CPU Usage: 40.6 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.99, 1.17, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.870/2.146/0.160 Avg:ms Max:
2024-05-04 23:19:01 CPU Usage: 46.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.31, 1.24, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.557/1.779/1.947/0.133 Avg:ms Max:
2024-05-04 23:19:06 CPU Usage: 42.4 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.23, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.610/1.770/1.979/0.131 Avg:ms Max:
2024-05-04 23:19:12 CPU Usage: 54.3 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.18, 1.21, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.670/1.875/2.021/0.157 Avg:ms Max:
2024-05-04 23:19:17 CPU Usage: 48.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.17, 1.21, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.585/1.792/2.132/0.200 Avg:ms Max:
2024-05-04 23:19:22 CPU Usage: 41.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.26, 1.03 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.525/1.694/1.932/0.140 Avg:ms Max:
2024-05-04 23:19:27 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.25, 1.03 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.671/1.887/2.118/0.172 Avg:ms Max:
2024-05-04 23:19:33 CPU Usage: 54.5 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.25, 1.03 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.712/1.873/2.088/0.170 Avg:ms Max:
2024-05-04 23:19:38 CPU Usage: 45.2 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.23, 1.23, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.677/1.804/1.928/0.103 Avg:ms Max:
2024-05-04 23:19:43 CPU Usage: 43.3 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 1.25, 1.03 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.582/1.885/2.181/0.195 Avg:ms Max:
2024-05-04 23:19:48 CPU Usage: 41.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.31, 1.25, 1.03 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.673/1.829/1.974/0.096 Avg:ms Max:
2024-05-04 23:19:53 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.69, 1.33, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.828/1.911/2.045/0.088 Avg:ms Max:
2024-05-04 23:19:59 CPU Usage: 53.1 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.55, 1.30, 1.05 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.418/1.682/1.990/0.186 Avg:ms Max:
2024-05-04 23:20:04 CPU Usage: 76.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.59, 1.32, 1.06 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.607/1.759/1.994/0.140 Avg:ms Max:
2024-05-04 23:20:09 CPU Usage: 93.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.46, 1.29, 1.05 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.718/1.901/2.016/0.107 Avg:ms Max:
2024-05-04 23:20:14 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 1.27, 1.05 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.454/1.786/2.083/0.200 Avg:ms Max:
2024-05-04 23:20:20 CPU Usage: 66.7 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.32, 1.27, 1.05 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.707/1.865/1.994/0.109 Avg:ms Max:
2024-05-04 23:20:25 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.26, 1.05 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.895/2.287/0.283 Avg:ms Max:
2024-05-04 23:20:30 CPU Usage: 43.8 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.59, 1.32, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.501/1.820/2.184/0.235 Avg:ms Max:
2024-05-04 23:20:35 CPU Usage: 85.7 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.54, 1.32, 1.07 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.862/2.015/2.141/0.091 Avg:ms Max:
2024-05-04 23:20:41 CPU Usage: 47.1 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.66, 1.35, 1.08 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.798/2.068/2.202/0.152 Avg:ms Max:
2024-05-04 23:20:46 CPU Usage: 91.2 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.60, 1.34, 1.08 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.460/1.804/2.067/0.199 Avg:ms Max:
2024-05-04 23:20:51 CPU Usage: 42.4 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.56, 1.34, 1.08 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.618/1.726/1.883/0.110 Avg:ms Max:
2024-05-04 23:20:56 CPU Usage: 47.1 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.43, 1.31, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.674/1.852/2.099/0.138 Avg:ms Max:
2024-05-04 23:21:02 CPU Usage: 52.8 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.48, 1.32, 1.08 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.664/1.830/1.967/0.108 Avg:ms Max:
2024-05-04 23:21:07 CPU Usage: 43.8 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.44, 1.32, 1.08 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.769/2.073/0.224 Avg:ms Max:
2024-05-04 23:21:12 CPU Usage: 40.6 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.40, 1.31, 1.08 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.642/1.901/2.114/0.176 Avg:ms Max:
2024-05-04 23:21:17 CPU Usage: 47.1 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.29, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.369/1.757/1.981/0.225 Avg:ms Max:
2024-05-04 23:21:23 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.27, 1.29, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.596/1.874/2.377/0.276 Avg:ms Max:
2024-05-04 23:21:28 CPU Usage: 45.7 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.25, 1.28, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.774/2.236/0.265 Avg:ms Max:
2024-05-04 23:21:33 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.13, 1.26, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.532/1.794/2.002/0.164 Avg:ms Max:
2024-05-04 23:21:38 CPU Usage: 91.4 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.20, 1.27, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.736/1.979/2.187/0.161 Avg:ms Max:
2024-05-04 23:21:43 CPU Usage: 53.1 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.19, 1.26, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.712/1.822/1.959/0.095 Avg:ms Max:
2024-05-04 23:21:49 CPU Usage: 40.6 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.09, 1.24, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.825/1.977/2.184/0.126 Avg:ms Max:
2024-05-04 23:21:54 CPU Usage: 48.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.08, 1.24, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:2.024/2.089/2.153/0.053 Avg:ms Max:
2024-05-04 23:21:59 CPU Usage: 46.9 | Memory Usage: 31.37 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.00, 1.22, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.558/1.766/1.833/0.105 Avg:ms Max:
2024-05-04 23:22:04 CPU Usage: 48.4 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.00, 1.21, 1.06 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.502/1.821/2.090/0.197 Avg:ms Max:
2024-05-04 23:22:10 CPU Usage: 46.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.24, 1.26, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.962/2.066/2.200/0.082 Avg:ms Max:
2024-05-04 23:22:15 CPU Usage: 48.4 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.22, 1.26, 1.07 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.769/1.958/2.038/0.100 Avg:ms Max:
2024-05-04 23:22:20 CPU Usage: 47.1 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.68, 1.35, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.732/1.947/2.174/0.175 Avg:ms Max:
2024-05-04 23:22:25 CPU Usage: 46.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.71, 1.36, 1.11 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.633/1.879/1.977/0.124 Avg:ms Max:
2024-05-04 23:22:31 CPU Usage: 48.5 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.73, 1.37, 1.11 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.380/1.653/2.092/0.244 Avg:ms Max:
2024-05-04 23:22:36 CPU Usage: 46.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.59, 1.35, 1.11 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.493/1.807/2.048/0.223 Avg:ms Max:
2024-05-04 23:22:41 CPU Usage: 46.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.54, 1.34, 1.11 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.608/1.817/1.948/0.121 Avg:ms Max:
2024-05-04 23:22:46 CPU Usage: 56.2 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.50, 1.34, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.578/1.817/2.080/0.201 Avg:ms Max:
2024-05-04 23:22:51 CPU Usage: 55.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.46, 1.33, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.691/1.927/2.136/0.162 Avg:ms Max:
2024-05-04 23:22:57 CPU Usage: 43.8 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.42, 1.33, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.402/1.798/1.992/0.224 Avg:ms Max:
2024-05-04 23:23:02 CPU Usage: 43.8 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.32, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.377/1.663/1.804/0.156 Avg:ms Max:
2024-05-04 23:23:07 CPU Usage: 45.5 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.32, 1.10 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.605/1.870/2.101/0.205 Avg:ms Max:
2024-05-04 23:23:12 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.65, 1.38, 1.12 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.736/1.879/0.092 Avg:ms Max:
2024-05-04 23:23:18 CPU Usage: 51.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.52, 1.35, 1.12 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.606/1.809/1.943/0.132 Avg:ms Max:
2024-05-04 23:23:23 CPU Usage: 50 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.48, 1.35, 1.11 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.573/1.791/2.222/0.229 Avg:ms Max:
2024-05-04 23:23:28 CPU Usage: 46.9 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.80, 1.42, 1.14 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.732/1.845/1.983/0.111 Avg:ms Max:
2024-05-04 23:23:33 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.74, 1.41, 1.14 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.486/1.847/2.039/0.191 Avg:ms Max:
2024-05-04 23:23:39 CPU Usage: 100 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.68, 1.40, 1.14 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.665/1.839/2.077/0.182 Avg:ms Max:
2024-05-04 23:23:44 CPU Usage: 54.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.54, 1.38, 1.13 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.578/1.729/1.910/0.114 Avg:ms Max:
2024-05-04 23:23:49 CPU Usage: 88.6 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.42, 1.36, 1.13 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.727/1.800/1.879/0.057 Avg:ms Max:
2024-05-04 23:23:54 CPU Usage: 51.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.35, 1.12 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.649/1.954/2.144/0.179 Avg:ms Max:
2024-05-04 23:24:00 CPU Usage: 57.1 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.33, 1.12 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.719/1.833/2.007/0.096 Avg:ms Max:
2024-05-04 23:24:05 CPU Usage: 46.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.25, 1.32, 1.12 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.525/1.691/1.793/0.089 Avg:ms Max:
2024-05-04 23:24:10 CPU Usage: 45.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.23, 1.32, 1.12 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.602/1.859/2.114/0.186 Avg:ms Max:
2024-05-04 23:24:15 CPU Usage: 51.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.21, 1.31, 1.12 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.740/1.876/1.955/0.073 Avg:ms Max:
2024-05-04 23:24:21 CPU Usage: 48.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.20, 1.31, 1.11 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.849/2.298/0.263 Avg:ms Max:
2024-05-04 23:24:26 CPU Usage: 52.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.18, 1.30, 1.11 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.645/1.965/2.272/0.213 Avg:ms Max:
2024-05-04 23:24:31 CPU Usage: 41.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.17, 1.30, 1.11 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.630/1.818/2.028/0.155 Avg:ms Max:
2024-05-04 23:24:36 CPU Usage: 45.5 | Memory Usage: 31.38 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.31, 1.32, 1.12 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.588/1.801/2.057/0.182 Avg:ms Max:
2024-05-04 23:24:41 CPU Usage: 54.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.32, 1.12 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.725/1.869/1.980/0.082 Avg:ms Max:
2024-05-04 23:24:47 CPU Usage: 51.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 1.33, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.820/2.006/2.224/0.130 Avg:ms Max:
2024-05-04 23:24:52 CPU Usage: 51.6 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.32, 1.32, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.663/1.896/2.221/0.197 Avg:ms Max:
2024-05-04 23:24:57 CPU Usage: 45.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.32, 1.12 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.422/1.753/1.958/0.178 Avg:ms Max:
2024-05-04 23:25:02 CPU Usage: 50 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.19, 1.30, 1.12 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.501/1.865/2.180/0.218 Avg:ms Max:
2024-05-04 23:25:08 CPU Usage: 48.4 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.33, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.611/1.797/1.992/0.122 Avg:ms Max:
2024-05-04 23:25:13 CPU Usage: 46.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.31, 1.32, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.801/1.905/2.011/0.080 Avg:ms Max:
2024-05-04 23:25:18 CPU Usage: 100 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.31, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.541/1.810/1.995/0.155 Avg:ms Max:
2024-05-04 23:25:23 CPU Usage: 48.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.46, 1.35, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.502/1.955/2.178/0.234 Avg:ms Max:
2024-05-04 23:25:29 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.42, 1.35, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.691/2.002/2.164/0.188 Avg:ms Max:
2024-05-04 23:25:34 CPU Usage: 45.2 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.34, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.758/1.965/2.191/0.149 Avg:ms Max:
2024-05-04 23:25:39 CPU Usage: 43.8 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.33, 1.14 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.715/1.920/2.015/0.105 Avg:ms Max:
2024-05-04 23:25:44 CPU Usage: 63.6 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.33, 1.14 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.772/1.982/2.190/0.134 Avg:ms Max:
