2024-05-04 18:53:03 CPU Usage: 18.2% | Memory Usage: 22.88% | I/O Usage (read write): 3.29 9.05 | Load Average:  6.07, 2.95, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.768/1.972/2.119/0.131 Avg:ms Max:
2024-05-04 19:01:24 CPU Usage: 9.1% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 1.02, 1.05 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.871/2.155/0.172 Avg:ms Max:
2024-05-04 19:01:30 CPU Usage: 6.5% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.27, 1.00, 1.04 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.439/1.656/1.922/0.187 Avg:ms Max:
2024-05-04 19:01:35 CPU Usage: 12.1% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 0.99, 1.04 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.408/1.682/1.947/0.196 Avg:ms Max:
2024-05-04 19:01:40 CPU Usage: 9.4% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.23, 0.97, 1.03 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.695/1.809/1.927/0.074 Avg:ms Max:
2024-05-04 19:01:45 CPU Usage: 6.5% | Memory Usage: 27.47% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.95, 1.03 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.482/1.692/2.086/0.211 Avg:ms Max:
2024-05-04 19:01:51 CPU Usage: 12.1% | Memory Usage: 27.50% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.92, 1.01 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.793/1.960/2.168/0.150 Avg:ms Max:
2024-05-04 19:01:56 CPU Usage: 0% | Memory Usage: 27.51% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.91, 1.01 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.550/1.742/2.019/0.155 Avg:ms Max:
2024-05-04 19:02:01 CPU Usage: 11.8% | Memory Usage: 27.53% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.89, 1.00 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.613/1.835/2.154/0.186 Avg:ms Max:
2024-05-04 19:02:06 CPU Usage: 12.1% | Memory Usage: 27.54% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.30, 0.91, 1.01 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.502/1.805/2.074/0.187 Avg:ms Max:
2024-05-04 19:02:11 CPU Usage: 12.1% | Memory Usage: 27.56% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.35, 0.91, 1.01 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.425/1.810/2.128/0.242 Avg:ms Max:
2024-05-04 19:02:17 CPU Usage: 12.1% | Memory Usage: 27.56% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.33, 0.90, 1.00 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.474/1.683/1.777/0.111 Avg:ms Max:
2024-05-04 19:02:22 CPU Usage: 17.6% | Memory Usage: 27.58% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.30, 0.88, 1.00 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.502/1.709/1.936/0.169 Avg:ms Max:
2024-05-04 19:02:27 CPU Usage: 9.1% | Memory Usage: 27.58% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.27, 0.87, 0.99 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.746/1.809/1.902/0.063 Avg:ms Max:
2024-05-04 19:02:32 CPU Usage: 53.1% | Memory Usage: 27.59% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 0.85, 0.99 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.839/1.971/2.166/0.130 Avg:ms Max:
2024-05-04 19:02:37 CPU Usage: 3.2% | Memory Usage: 27.59% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.23, 0.84, 0.98 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.843/1.941/2.017/0.066 Avg:ms Max:
2024-05-04 19:02:43 CPU Usage: 87.9% | Memory Usage: 27.63% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.82, 0.97 | Process Count: 274 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.452/1.855/2.198/0.246 Avg:ms Max:
2024-05-04 19:02:48 CPU Usage: 38.9% | Memory Usage: 27.65% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.81, 0.97 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.571/1.719/1.803/0.090 Avg:ms Max:
2024-05-04 19:02:53 CPU Usage: 56.2% | Memory Usage: 27.69% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.80, 0.96 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.365/1.748/2.123/0.290 Avg:ms Max:
2024-05-04 19:02:58 CPU Usage: 28.9% | Memory Usage: 27.70% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.78, 0.96 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.614/1.765/2.026/0.153 Avg:ms Max:
2024-05-04 19:03:04 CPU Usage: 41.7% | Memory Usage: 27.72% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.77, 0.95 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.719/1.942/2.346/0.212 Avg:ms Max:
2024-05-04 19:03:09 CPU Usage: 3.2% | Memory Usage: 27.76% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.14, 0.76, 0.95 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.802/2.017/2.212/0.145 Avg:ms Max:
2024-05-04 19:03:14 CPU Usage: 6.2% | Memory Usage: 27.78% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.74, 0.94 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.718/1.870/2.130/0.144 Avg:ms Max:
2024-05-04 19:03:19 CPU Usage: 3% | Memory Usage: 27.80% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.12, 0.73, 0.94 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.808/2.102/0.226 Avg:ms Max:
2024-05-04 19:03:25 CPU Usage: 9.4% | Memory Usage: 27.80% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.11, 0.72, 0.93 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.662/1.786/1.931/0.085 Avg:ms Max:
2024-05-04 19:03:30 CPU Usage: 9.4% | Memory Usage: 27.83% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.72, 0.93 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.594/1.908/2.216/0.223 Avg:ms Max:
2024-05-04 19:03:35 CPU Usage: 9.4% | Memory Usage: 27.83% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.71, 0.93 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.817/1.950/2.053/0.101 Avg:ms Max:
2024-05-04 19:03:40 CPU Usage: 15.2% | Memory Usage: 27.86% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.70, 0.92 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.640/1.915/2.069/0.146 Avg:ms Max:
2024-05-04 19:03:45 CPU Usage: 9.1% | Memory Usage: 27.90% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.14, 0.69, 0.92 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.647/1.879/2.173/0.175 Avg:ms Max:
2024-05-04 19:03:51 CPU Usage: 6.1% | Memory Usage: 27.90% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.12, 0.66, 0.91 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.497/2.389/5.025/1.327 Avg:ms Max:
2024-05-04 19:03:56 CPU Usage: 6.2% | Memory Usage: 27.93% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.11, 0.65, 0.90 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.670/1.771/2.010/0.126 Avg:ms Max:
2024-05-04 19:04:01 CPU Usage: 9.4% | Memory Usage: 27.93% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.10, 0.64, 0.90 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.470/1.632/1.939/0.173 Avg:ms Max:
2024-05-04 19:04:06 CPU Usage: 12.1% | Memory Usage: 27.95% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.09, 0.63, 0.89 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.373/1.713/2.065/0.253 Avg:ms Max:
2024-05-04 19:04:11 CPU Usage: 9.1% | Memory Usage: 27.97% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.64, 0.89 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.334/1.612/1.941/0.213 Avg:ms Max:
2024-05-04 19:04:17 CPU Usage: 9.4% | Memory Usage: 28.00% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.63, 0.89 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.444/1.809/2.136/0.246 Avg:ms Max:
2024-05-04 19:04:22 CPU Usage: 12.5% | Memory Usage: 28.03% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.14, 0.62, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.712/1.892/2.296/0.206 Avg:ms Max:
2024-05-04 19:04:27 CPU Usage: 12.1% | Memory Usage: 28.06% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.61, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.803/2.095/0.179 Avg:ms Max:
2024-05-04 19:04:32 CPU Usage: 3.1% | Memory Usage: 28.07% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.61, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.733/1.903/2.030/0.107 Avg:ms Max:
2024-05-04 19:04:38 CPU Usage: 3.1% | Memory Usage: 28.08% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.60, 0.87 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.800/1.925/2.188/0.136 Avg:ms Max:
2024-05-04 19:04:43 CPU Usage: 9.1% | Memory Usage: 28.10% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.33, 0.63, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.732/2.050/0.198 Avg:ms Max:
2024-05-04 19:04:48 CPU Usage: 9.4% | Memory Usage: 28.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.54, 0.66, 0.89 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.431/1.749/2.010/0.228 Avg:ms Max:
2024-05-04 19:04:53 CPU Usage: 12.1% | Memory Usage: 28.17% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.50, 0.65, 0.89 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.527/1.760/2.129/0.198 Avg:ms Max:
2024-05-04 19:04:58 CPU Usage: 12.1% | Memory Usage: 28.18% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.46, 0.64, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.547/1.703/1.871/0.130 Avg:ms Max:
2024-05-04 19:05:04 CPU Usage: 9.7% | Memory Usage: 28.21% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.42, 0.63, 0.88 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.568/1.725/1.936/0.134 Avg:ms Max:
2024-05-04 19:05:09 CPU Usage: 9.1% | Memory Usage: 28.22% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.39, 0.62, 0.87 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.685/1.874/2.117/0.145 Avg:ms Max:
2024-05-04 19:05:14 CPU Usage: 6.1% | Memory Usage: 28.24% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.36, 0.61, 0.87 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.612/1.856/1.983/0.129 Avg:ms Max:
2024-05-04 19:05:19 CPU Usage: 3.2% | Memory Usage: 28.27% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.49, 0.63, 0.87 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.507/1.781/2.051/0.187 Avg:ms Max:
2024-05-04 19:05:24 CPU Usage: 12.1% | Memory Usage: 28.30% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.45, 0.62, 0.87 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.484/1.589/1.742/0.108 Avg:ms Max:
2024-05-04 19:05:30 CPU Usage: 11.8% | Memory Usage: 28.32% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.41, 0.61, 0.86 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.533/1.788/2.170/0.241 Avg:ms Max:
2024-05-04 19:05:35 CPU Usage: 12.1% | Memory Usage: 28.35% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.38, 0.60, 0.86 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.667/1.844/2.138/0.174 Avg:ms Max:
2024-05-04 19:05:40 CPU Usage: 12.1% | Memory Usage: 28.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.35, 0.59, 0.85 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.730/1.854/1.952/0.098 Avg:ms Max:
2024-05-04 19:05:45 CPU Usage: 37.5% | Memory Usage: 28.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 0.58, 0.85 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.695/1.918/2.113/0.164 Avg:ms Max:
2024-05-04 19:05:51 CPU Usage: 11.8% | Memory Usage: 28.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.45, 0.61, 0.85 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.547/1.922/2.138/0.214 Avg:ms Max:
2024-05-04 19:05:56 CPU Usage: 57.6% | Memory Usage: 28.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 0.60, 0.85 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.673/1.835/2.095/0.140 Avg:ms Max:
2024-05-04 19:06:01 CPU Usage: 27.3% | Memory Usage: 28.47% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.43, 0.59, 0.85 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.496/1.690/1.789/0.104 Avg:ms Max:
2024-05-04 19:06:06 CPU Usage: 97.2% | Memory Usage: 28.50% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.39, 0.58, 0.84 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.525/1.827/2.245/0.238 Avg:ms Max:
2024-05-04 19:06:11 CPU Usage: 41.2% | Memory Usage: 28.54% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.44, 0.59, 0.84 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.639/1.757/2.010/0.132 Avg:ms Max:
2024-05-04 19:06:17 CPU Usage: 20% | Memory Usage: 28.55% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.41, 0.58, 0.84 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.725/1.917/2.139/0.136 Avg:ms Max:
2024-05-04 19:06:22 CPU Usage: 16.1% | Memory Usage: 28.57% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.37, 0.57, 0.83 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.646/1.866/2.236/0.200 Avg:ms Max:
2024-05-04 19:06:27 CPU Usage: 9.4% | Memory Usage: 28.59% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 0.56, 0.83 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.623/1.817/2.207/0.214 Avg:ms Max:
2024-05-04 19:06:32 CPU Usage: 6.5% | Memory Usage: 28.59% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 0.55, 0.82 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.497/1.747/2.028/0.173 Avg:ms Max:
2024-05-04 19:06:38 CPU Usage: 3.2% | Memory Usage: 28.61% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 0.54, 0.82 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.686/2.627/5.719/1.551 Avg:ms Max:
2024-05-04 19:06:43 CPU Usage: 3.2% | Memory Usage: 28.62% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.27, 0.53, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.503/1.751/1.999/0.187 Avg:ms Max:
2024-05-04 19:06:48 CPU Usage: 9.1% | Memory Usage: 28.65% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 0.52, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.631/1.770/1.995/0.151 Avg:ms Max:
2024-05-04 19:06:53 CPU Usage: 9.4% | Memory Usage: 28.68% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.51, 0.80 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.623/1.772/1.896/0.087 Avg:ms Max:
2024-05-04 19:06:58 CPU Usage: 12.1% | Memory Usage: 28.69% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.50, 0.80 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.184/1.514/1.785/0.193 Avg:ms Max:
2024-05-04 19:07:04 CPU Usage: 3.3% | Memory Usage: 28.64% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.51, 0.56, 0.82 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.588/1.772/2.092/0.185 Avg:ms Max:
2024-05-04 19:07:09 CPU Usage: 12.1% | Memory Usage: 28.64% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 0.55, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.729/1.938/0.160 Avg:ms Max:
2024-05-04 19:07:14 CPU Usage: 9.4% | Memory Usage: 28.64% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.51, 0.56, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.608/1.796/1.960/0.149 Avg:ms Max:
2024-05-04 19:07:19 CPU Usage: 11.8% | Memory Usage: 28.65% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 0.55, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.371/1.687/1.821/0.165 Avg:ms Max:
2024-05-04 19:07:24 CPU Usage: 6.1% | Memory Usage: 28.67% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.43, 0.54, 0.81 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.559/1.757/1.900/0.148 Avg:ms Max:
2024-05-04 19:07:30 CPU Usage: 11.8% | Memory Usage: 28.70% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.40, 0.53, 0.80 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.690/1.913/2.062/0.126 Avg:ms Max:
2024-05-04 19:07:35 CPU Usage: 0% | Memory Usage: 28.72% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.37, 0.52, 0.80 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.488/1.656/1.790/0.107 Avg:ms Max:
2024-05-04 19:07:40 CPU Usage: 9.4% | Memory Usage: 28.74% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 0.51, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.602/1.875/2.177/0.232 Avg:ms Max:
2024-05-04 19:07:45 CPU Usage: 11.8% | Memory Usage: 28.77% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.31, 0.50, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.267/1.537/1.862/0.211 Avg:ms Max:
2024-05-04 19:07:51 CPU Usage: 12.1% | Memory Usage: 28.81% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.28, 0.50, 0.78 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.731/1.910/2.165/0.147 Avg:ms Max:
2024-05-04 19:07:56 CPU Usage: 12.1% | Memory Usage: 28.84% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 0.48, 0.78 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.576/1.727/1.975/0.139 Avg:ms Max:
2024-05-04 19:08:01 CPU Usage: 6.5% | Memory Usage: 28.88% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.47, 0.77 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.518/1.793/1.983/0.151 Avg:ms Max:
2024-05-04 19:08:06 CPU Usage: 9.1% | Memory Usage: 28.92% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.46, 0.77 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.667/1.798/1.926/0.085 Avg:ms Max:
2024-05-04 19:08:11 CPU Usage: 6.2% | Memory Usage: 28.94% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.19, 0.45, 0.76 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.756/1.964/2.231/0.187 Avg:ms Max:
2024-05-04 19:08:17 CPU Usage: 3.2% | Memory Usage: 28.97% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.17, 0.45, 0.76 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.600/1.768/1.893/0.109 Avg:ms Max:
2024-05-04 19:08:22 CPU Usage: 6.5% | Memory Usage: 28.99% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.44, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.785/2.038/0.183 Avg:ms Max:
2024-05-04 19:08:27 CPU Usage: 6.2% | Memory Usage: 29.02% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.45, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.462/1.634/1.894/0.161 Avg:ms Max:
2024-05-04 19:08:32 CPU Usage: 11.8% | Memory Usage: 29.04% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.44, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.704/1.793/1.856/0.069 Avg:ms Max:
2024-05-04 19:08:37 CPU Usage: 6.5% | Memory Usage: 29.06% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.19, 0.43, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.718/1.875/2.157/0.187 Avg:ms Max:
2024-05-04 19:08:43 CPU Usage: 12.1% | Memory Usage: 29.09% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.17, 0.43, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.739/1.853/1.932/0.071 Avg:ms Max:
2024-05-04 19:08:48 CPU Usage: 3.2% | Memory Usage: 29.11% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.42, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.385/1.807/2.201/0.266 Avg:ms Max:
2024-05-04 19:08:53 CPU Usage: 8.8% | Memory Usage: 29.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.41, 0.73 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.691/1.990/2.111/0.151 Avg:ms Max:
2024-05-04 19:08:58 CPU Usage: 37.5% | Memory Usage: 29.17% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.40, 0.73 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.773/1.876/2.008/0.088 Avg:ms Max:
2024-05-04 19:09:04 CPU Usage: 12.1% | Memory Usage: 29.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.28, 0.43, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.389/1.868/2.180/0.266 Avg:ms Max:
2024-05-04 19:09:09 CPU Usage: 58.8% | Memory Usage: 29.21% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.26, 0.42, 0.73 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.761/1.930/2.174/0.136 Avg:ms Max:
2024-05-04 19:09:14 CPU Usage: 9.4% | Memory Usage: 29.24% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 0.42, 0.73 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.599/1.659/1.789/0.067 Avg:ms Max:
2024-05-04 19:09:19 CPU Usage: 58.8% | Memory Usage: 29.27% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.41, 0.72 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.466/1.626/1.965/0.173 Avg:ms Max:
2024-05-04 19:09:24 CPU Usage: 26.5% | Memory Usage: 29.30% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.40, 0.72 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.587/1.852/2.087/0.179 Avg:ms Max:
2024-05-04 19:09:30 CPU Usage: 18.2% | Memory Usage: 29.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.19, 0.40, 0.71 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.466/1.781/2.040/0.214 Avg:ms Max:
2024-05-04 19:09:35 CPU Usage: 3.1% | Memory Usage: 29.35% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.17, 0.39, 0.71 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.798/1.889/2.111/0.117 Avg:ms Max:
2024-05-04 19:09:40 CPU Usage: 64.5% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.38, 0.71 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.575/1.699/1.857/0.124 Avg:ms Max:
